,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
29,29,ILSVRC2012_val_00002998.4_6.png,9,-8,6.330663796001318,0.8198040150795095,25.75052325141006
30,30,ILSVRC2012_val_00043152.8_12.png,5,-5,6.27268234099938,0.960002890141559,31.323712711297087
31,31,ILSVRC2012_val_00048781.2_20.png,0,1,6.294825249000496,0.9381698215341224,32.35370240011705
32,32,ILSVRC2012_val_00043125.4_1.png,0,0,6.304820518000269,0.7772663920284809,23.45172539532868
33,33,ILSVRC2012_val_00001063.4_6.png,1,0,6.264266063000831,0.9233396639055392,29.908999042899726
34,34,ILSVRC2012_val_00046718.4_25.png,0,0,6.25959837299888,0.8998138588045804,29.071814662282147
35,35,ILSVRC2012_val_00005196.8_10.png,3,-3,6.297968757000491,0.8622463292201287,28.678888839140633
36,36,ILSVRC2012_val_00004858.4_30.png,5,61,6.2908507180000015,0.9852426586015992,35.32729653147637
37,37,ILSVRC2012_val_00027986.8_2.png,402,-402,6.222080964998895,0.8626085241049352,27.089790751165804
38,38,ILSVRC2012_val_00043120.4_30.png,0,0,6.265675033999287,0.9427141651960133,33.24185543804642
39,39,ILSVRC2012_val_00043133.4_16.png,1,-1,6.272536864000357,0.9807836320111644,33.04153221470766
40,40,ILSVRC2012_val_00001063.1_3.png,1,0,6.4067146309989775,0.9075233701086056,28.49723660530704
41,41,ILSVRC2012_val_00046718.2_4.png,0,0,6.3322626120007035,0.8112215204511968,26.400025252733283
42,42,ILSVRC2012_val_00002998.8_3.png,0,1,6.291878515001372,0.8629908943742746,26.32103361309566
43,43,ILSVRC2012_val_00003462.4_12.png,78,52,6.312743667000178,0.947049666282596,31.187156887385182
44,44,ILSVRC2012_val_00000517.1_8.png,1,0,6.389772493999772,0.8683616143779951,30.07835365854289
45,45,ILSVRC2012_val_00000067.4_8.png,0,0,6.516034838999985,0.9421321734665584,30.71790764333325
46,46,ILSVRC2012_val_00042652.4_8.png,45,-18,6.366628498999488,0.9213210780148434,29.05992271649632
47,47,ILSVRC2012_val_00004573.8_14.png,524,-462,6.3483363689992975,0.9684416674998568,31.530252017996755
48,48,ILSVRC2012_val_00001487.4_4.png,14,-14,6.921213996998631,0.9204676999526816,28.556579514901124
49,49,ILSVRC2012_val_00000597.1_4.png,1,0,8.481185513999662,0.8823126234031605,27.963070150107285
50,50,ILSVRC2012_val_00032831.2_40.png,1,-1,6.2973066579997985,0.946369468706308,31.765288311097606
51,51,ILSVRC2012_val_00042652.2_8.png,35,-8,6.2474097840004115,0.9175439998004128,28.630996785231506
52,52,ILSVRC2012_val_00000023.1_20.png,0,0,6.334678213999723,0.937315309753762,32.95097808781273
53,53,ILSVRC2012_val_00030069.4_18.png,6,-6,6.354771129001166,0.9558169980602118,32.97924707185831
54,54,ILSVRC2012_val_00005223.2_16.png,0,0,6.269782297998973,0.9427682386945604,31.417954659363176
55,55,ILSVRC2012_val_00000028.2_6.png,2,0,6.248628199999075,0.8938173411799909,29.106434765515342
56,56,ILSVRC2012_val_00048781.2_18.png,1,0,6.30565579100039,0.9420016518890352,32.57354531720328
57,57,ILSVRC2012_val_00003462.8_30.png,91,39,6.743770238999788,0.9806133837724436,33.278340018794644
58,58,ILSVRC2012_val_00029641.8_20.png,5,-5,6.864303714999551,0.9710517584378912,32.522365278080784
59,59,ILSVRC2012_val_00004218.4_25.png,2,2,7.714213416000347,0.9772014889101426,33.33309480439928
60,60,ILSVRC2012_val_00043120.4_8.png,0,0,7.226445583000896,0.8967994349397853,30.528359936716104
61,61,ILSVRC2012_val_00005046.1_50.png,0,0,6.5294124049996745,0.9597387725271372,33.88676184686872
62,62,ILSVRC2012_val_00001358.1_6.png,251,7,6.469608146999235,0.9154652418515756,29.488980916139827
63,63,ILSVRC2012_val_00033235.4_7.png,1,0,6.235329643001022,0.8554410340223098,28.980483234217864
64,64,ILSVRC2012_val_00043120.8_4.png,1,-1,6.232138298999415,0.8803255665945037,28.727887704992057
65,65,ILSVRC2012_val_00046567.2_2.png,0,0,6.2688921760000085,0.7543170174452342,25.622360201978932
66,66,ILSVRC2012_val_00048781.1_7.png,0,1,6.270741558999362,0.8993641947606068,30.285570648990806
67,67,ILSVRC2012_val_00029641.2_8.png,3,-3,6.223374520999641,0.9085567876605032,30.13829587797266
68,68,ILSVRC2012_val_00043109.1_14.png,0,0,6.293308274000082,0.9256541575702728,30.94340928363396
69,69,ILSVRC2012_val_00038941.2_18.png,3,-2,6.271561798999755,0.9369918668971202,31.3122300784063
70,70,ILSVRC2012_val_00005223.4_12.png,10,-10,6.305154356999992,0.9615057353880984,31.07770284028564
71,71,ILSVRC2012_val_00029932.4_25.png,0,0,6.405514108000716,0.9712431799054424,32.673510359593195
72,72,ILSVRC2012_val_00033354.2_40.png,0,1,6.291425252000407,0.9729188550008714,33.918482065508286
73,73,ILSVRC2012_val_00030069.8_7.png,10,-10,6.214108500000293,0.9499575199810008,31.291242002015625
74,74,ILSVRC2012_val_00049923.2_16.png,0,0,6.2780677909995575,0.9400156589604404,31.41843165223105
75,75,ILSVRC2012_val_00033235.2_8.png,0,1,6.291596388999096,0.8843020376607458,29.587661795154432
76,76,ILSVRC2012_val_00029783.1_1.png,0,0,6.290855039998861,0.6850761489952889,22.197977375168964
77,77,ILSVRC2012_val_00000785.8_8.png,26,-18,6.235613532999196,0.9676422907014324,30.242613995071782
78,78,ILSVRC2012_val_00000028.4_12.png,0,2,6.239752082999985,0.9455479682800522,30.989506760161838
79,79,ILSVRC2012_val_00004858.8_14.png,8,58,6.2341951790003804,0.9860976500174868,33.579882759603045
80,80,ILSVRC2012_val_00046718.1_3.png,0,0,6.289551842999573,0.7969270474393922,26.46951197084845
81,81,ILSVRC2012_val_00000023.8_6.png,0,0,6.273461613000108,0.937055629829188,30.215008779228487
82,82,ILSVRC2012_val_00004218.4_4.png,0,4,6.259352281000247,0.9351825043143044,28.876827889424423
83,83,ILSVRC2012_val_00049370.2_4.png,0,0,6.256904355001098,0.8706737456399051,28.869162336728976
84,84,ILSVRC2012_val_00004858.8_50.png,16,50,6.218076104001738,0.9921068476247747,35.52249492467798
85,85,ILSVRC2012_val_00043152.1_5.png,0,0,6.284306045999982,0.8598066841696119,28.968278246364704
86,86,ILSVRC2012_val_00032827.8_5.png,3,-3,6.254534130999672,0.952102828849154,29.236320788823534
87,87,ILSVRC2012_val_00042652.8_10.png,180,-153,6.23951878400112,0.9227536984150754,29.301017195151
88,88,ILSVRC2012_val_00048861.4_8.png,0,0,6.245464436000475,0.9442541504727868,30.297556079872017
89,89,ILSVRC2012_val_00048756.2_8.png,2,-1,6.37710451699968,0.8729370487242099,29.575305956186963
90,90,ILSVRC2012_val_00000517.8_5.png,11,-10,6.345482126000206,0.9333161167067016,30.231809821824573
91,91,ILSVRC2012_val_00031164.4_4.png,0,0,6.418269044999762,0.928002920958848,28.70479755201081
92,92,ILSVRC2012_val_00000785.1_8.png,6,2,6.4546725820000574,0.9027036677069006,29.921564269539342
93,93,ILSVRC2012_val_00000531.2_30.png,1,0,6.401249927001118,0.9687807394629262,33.367339943300834
94,94,ILSVRC2012_val_00005046.4_2.png,26,-26,6.741893835000155,0.8938135806690466,26.447484634349266
95,95,ILSVRC2012_val_00029783.1_12.png,0,0,6.6676486560008925,0.9313800183944708,30.94191817790891
96,96,ILSVRC2012_val_00043125.4_10.png,0,0,6.39484880999953,0.921100811032298,31.20066926032713
97,97,ILSVRC2012_val_00032831.2_14.png,2,-2,6.397554049999599,0.9232461021813902,30.20039203523894
98,98,ILSVRC2012_val_00028105.4_16.png,0,0,6.387579947000631,0.9459792263611544,31.687552810815358
99,99,ILSVRC2012_val_00000754.1_8.png,0,0,6.508763460999035,0.9470826206522462,29.60702852315893
100,100,ILSVRC2012_val_00048861.2_30.png,0,0,6.4225991790008266,0.9530812801102642,32.41302030791977
101,101,ILSVRC2012_val_00004379.1_6.png,66,10,6.3915964379993975,0.8842896067328384,29.428782295159486
102,102,ILSVRC2012_val_00032827.8_12.png,1,-1,6.411989852000262,0.9758143459579309,32.34730217294238
103,103,ILSVRC2012_val_00000531.4_40.png,1,0,6.349878342998637,0.9855812357874284,34.581050412938396
104,104,ILSVRC2012_val_00040587.2_3.png,1,-1,6.420120714001313,0.9318182631642592,28.58016898666676
105,105,ILSVRC2012_val_00048820.2_16.png,15,3,6.4213632279988815,0.9208000006500804,31.523426149835448
106,106,ILSVRC2012_val_00005196.1_18.png,0,0,7.412346450000768,0.8946600589716431,30.65328611915293
