,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
1243,1243,"ILSVRC2012_val_00028105.8_15,10.j2k",11,-11,6.348611346000325,0.6227681379079112,12.302234474971288
1244,1244,"ILSVRC2012_val_00001171.1_25,20,10.j2k",43,-42,6.39761453599931,0.7797990667539921,14.429414465447984
1245,1245,ILSVRC2012_val_00005196.2_100.j2k,3,-3,6.537718813999161,0.7447757125778955,13.154901344386936
1246,1246,"ILSVRC2012_val_00004218.8_10,5.j2k",17,-13,6.360250603000168,0.7943718506434689,13.664654329213786
1247,1247,ILSVRC2012_val_00002998.2_25.j2k,0,1,6.39399113699983,0.32219032518061497,15.242925254983403
1248,1248,ILSVRC2012_val_00029932.8_10.j2k,21,-21,6.303291926000384,0.6129678594182056,12.333287532942258
1249,1249,"ILSVRC2012_val_00000597.2_100,20.j2k",1,0,6.6145991060002425,0.5322334182248679,13.506658972816574
1250,1250,"ILSVRC2012_val_00000517.2_15,10.j2k",0,1,6.470116418000544,0.7064915314597798,11.563095613452735
1251,1251,"ILSVRC2012_val_00048800.2_100,20.j2k",8,-8,6.342909439001232,0.6199282683471202,14.460388479344498
1252,1252,"ILSVRC2012_val_00043133.4_25,20.j2k",1,-1,6.316153194000435,0.8124181485627526,12.758743762608535
1253,1253,"ILSVRC2012_val_00000754.1_100,20,10.j2k",0,0,6.366484251999282,0.4827655979569522,14.79090230878185
1254,1254,"ILSVRC2012_val_00002625.2_25,20,10.j2k",0,0,6.351852546000372,0.6453147328783945,12.62116173136735
1255,1255,"ILSVRC2012_val_00005196.8_200,40.j2k",4,-4,6.343837329000963,0.7533290878944726,13.11124756720873
1256,1256,"ILSVRC2012_val_00001745.4_15,10,1.j2k",9,2,6.365777527000319,0.6111255892588391,14.032929483511662
1257,1257,"ILSVRC2012_val_00033354.1_100,20,10.j2k",0,1,6.365592916999957,0.6806850215747375,12.44760948903941
1258,1258,"ILSVRC2012_val_00029641.2_100,20.j2k",9,-9,6.333811065000192,0.6653763776949231,11.98691804483935
1259,1259,"ILSVRC2012_val_00005581.2_50,40.j2k",0,0,6.435877567000715,0.8787274189496584,15.781517048719161
1260,1260,"ILSVRC2012_val_00046567.4_15,10.j2k",1,-1,6.340389299999515,0.7403747698904801,12.563514588831985
1261,1261,"ILSVRC2012_val_00000028.1_10,5.j2k",2,0,6.438737922000655,0.7406307648982428,13.727919718518958
1262,1262,"ILSVRC2012_val_00001063.8_50,40.j2k",590,-589,6.331975741999487,0.5138782331669196,12.775508233034891
1263,1263,ILSVRC2012_val_00029932.2_50.j2k,3,-3,6.315364354999473,0.488118112569293,12.48693430798257
1264,1264,"ILSVRC2012_val_00048800.4_25,20,10.j2k",27,-27,6.296713591998923,0.6277097051774364,14.389152322539251
1265,1265,"ILSVRC2012_val_00043125.2_50,40,20.j2k",0,0,6.384774524000022,0.8243555428429878,13.232310704158738
1266,1266,ILSVRC2012_val_00002625.1_50.j2k,0,0,6.382381690000329,0.4763801697143336,12.52487748900091
1267,1267,ILSVRC2012_val_00000094.1_15.j2k,0,1,6.359678464999888,0.9026894031990724,13.486320171626707
1268,1268,"ILSVRC2012_val_00030069.8_10,5.j2k",56,-56,6.336547988999883,0.7876673440919301,11.9177784285107
1269,1269,"ILSVRC2012_val_00000785.1_100,20.j2k",15,-7,6.368502762001299,0.5898898217737183,12.878131390447788
1270,1270,"ILSVRC2012_val_00046567.2_15,10,1.j2k",0,0,6.382247333000122,0.75637638211611,12.593171934907865
1271,1271,ILSVRC2012_val_00042652.1_25.j2k,58,-31,6.374898080999628,0.2997584857586633,14.967437467526144
1272,1272,ILSVRC2012_val_00003890.1_100.j2k,68,-50,6.365297288000875,0.6090490042275002,12.568637317873785
1273,1273,"ILSVRC2012_val_00029783.4_200,40.j2k",15,-15,6.3093448170002375,0.5891632991598577,12.563446488468301
